proposito,pais_publicacion,pais_origen,tipo_obra,postuma,persona_juridica,anio_muerte,anio_publicacion,resultado_calculadora,plazo_deducido
autores fallecidos en 1938 (Argentina),Venezuela,Argentina,Literaria y/o artística,no,no,1938,,,
autores fallecidos en 1938 (Argentina),Alemania,Argentina,Literaria y/o artística,no,no,1938,,,
autores fallecidos en 1938 (Argentina),Nicaragua,Argentina,Literaria y/o artística,no,no,1938,,,
autores fallecidos en 1938 (Argentina),Bolivia,Argentina,Literaria y/o artística,no,no,1938,,,
autores fallecidos en 1938 (Argentina),El Salvador,Argentina,Literaria y/o artística,no,no,1938,,,
autores fallecidos en 1938 (Argentina),Costa Rica,Argentina,Literaria y/o artística,no,no,1938,,,
autores fallecidos en 1938 (Argentina),Paraguay,Argentina,Literaria y/o artística,no,no,1938,,,
autores fallecidos en 1938 (Argentina),Estados Unidos,Argentina,Literaria y/o artística,no,no,1938,,,
autores fallecidos en 1942 (Argentina),España,Argentina,Literaria y/o artística,no,no,1942,,,
autores fallecidos en 1942 (Argentina),México,Argentina,Literaria y/o artística,no,no,1942,,,
autores fallecidos en 1942 (Argentina),Argentina,Argentina,Literaria y/o artística,no,no,1942,,,
autores fallecidos en 1942 (Argentina),Chile,Argentina,Literaria y/o artística,no,no,1942,,,
autores fallecidos en 1942 (Argentina),Colombia,Argentina,Literaria y/o artística,no,no,1942,,,
autores fallecidos en 1942 (Argentina),Perú,Argentina,Literaria y/o artística,no,no,1942,,,
autores fallecidos en 1942 (Argentina),Uruguay,Argentina,Literaria y/o artística,no,no,1942,,,
autores fallecidos en 1942 (Argentina),Ecuador,Argentina,Literaria y/o artística,no,no,1942,,,
autores fallecidos en 1942 (Argentina),Cuba,Argentina,Literaria y/o artística,no,no,1942,,,
autores fallecidos en 1942 (Argentina),Venezuela,Argentina,Literaria y/o artística,no,no,1942,,,
autores fallecidos en 1942 (Argentina),Alemania,Argentina,Literaria y/o artística,no,no,1942,,,
autores fallecidos en 1942 (Argentina),Nicaragua,Argentina,Literaria y/o artística,no,no,1942,,,
autores fallecidos en 1942 (Argentina),Bolivia,Argentina,Literaria y/o artística,no,no,1942,,,
autores fallecidos en 1942 (Argentina),El Salvador,Argentina,Literaria y/o artística,no,no,1942,,,
autores fallecidos en 1942 (Argentina),Costa Rica,Argentina,Literaria y/o artística,no,no,1942,,,
autores fallecidos en 1942 (Argentina),Paraguay,Argentina,Literaria y/o artística,no,no,1942,,,
autores fallecidos en 1942 (Argentina),Estados Unidos,Argentina,Literaria y/o artística,no,no,1942,,,
autores fallecidos en 1921 (Chile),España,Chile,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (Chile),México,Chile,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (Chile),Argentina,Chile,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (Chile),Chile,Chile,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (Chile),Colombia,Chile,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (Chile),Perú,Chile,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (Chile),Uruguay,Chile,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (Chile),Ecuador,Chile,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (Chile),Cuba,Chile,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (Chile),Venezuela,Chile,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (Chile),Alemania,Chile,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (Chile),Nicaragua,Chile,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (Chile),Bolivia,Chile,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (Chile),El Salvador,Chile,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (Chile),Costa Rica,Chile,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (Chile),Paraguay,Chile,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (Chile),Estados Unidos,Chile,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1929 (Chile),España,Chile,Literaria y/o artística,no,no,1929,,,
autores fallecidos en 1929 (Chile),México,Chile,Literaria y/o artística,no,no,1929,,,
autores fallecidos en 1929 (Chile),Argentina,Chile,Literaria y/o artística,no,no,1929,,,
autores fallecidos en 1929 (Chile),Chile,Chile,Literaria y/o artística,no,no,1929,,,
autores fallecidos en 1929 (Chile),Colombia,Chile,Literaria y/o artística,no,no,1929,,,
autores fallecidos en 1929 (Chile),Perú,Chile,Literaria y/o artística,no,no,1929,,,
autores fallecidos en 1929 (Chile),Uruguay,Chile,Literaria y/o artística,no,no,1929,,,
autores fallecidos en 1929 (Chile),Ecuador,Chile,Literaria y/o artística,no,no,1929,,,
autores fallecidos en 1929 (Chile),Cuba,Chile,Literaria y/o artística,no,no,1929,,,
autores fallecidos en 1929 (Chile),Venezuela,Chile,Literaria y/o artística,no,no,1929,,,
autores fallecidos en 1929 (Chile),Alemania,Chile,Literaria y/o artística,no,no,1929,,,
autores fallecidos en 1929 (Chile),Nicaragua,Chile,Literaria y/o artística,no,no,1929,,,
autores fallecidos en 1929 (Chile),Bolivia,Chile,Literaria y/o artística,no,no,1929,,,
autores fallecidos en 1929 (Chile),El Salvador,Chile,Literaria y/o artística,no,no,1929,,,
autores fallecidos en 1929 (Chile),Costa Rica,Chile,Literaria y/o artística,no,no,1929,,,
autores fallecidos en 1929 (Chile),Paraguay,Chile,Literaria y/o artística,no,no,1929,,,
autores fallecidos en 1929 (Chile),Estados Unidos,Chile,Literaria y/o artística,no,no,1929,,,
autores fallecidos en 1948 (Chile),España,Chile,Literaria y/o artística,no,no,1948,,,
autores fallecidos en 1948 (Chile),México,Chile,Literaria y/o artística,no,no,1948,,,
autores fallecidos en 1948 (Chile),Argentina,Chile,Literaria y/o artística,no,no,1948,,,
autores fallecidos en 1948 (Chile),Chile,Chile,Literaria y/o artística,no,no,1948,,,
autores fallecidos en 1948 (Chile),Colombia,Chile,Literaria y/o artística,no,no,1948,,,
autores fallecidos en 1948 (Chile),Perú,Chile,Literaria y/o artística,no,no,1948,,,
autores fallecidos en 1948 (Chile),Uruguay,Chile,Literaria y/o artística,no,no,1948,,,
autores fallecidos en 1948 (Chile),Ecuador,Chile,Literaria y/o artística,no,no,1948,,,
autores fallecidos en 1948 (Chile),Cuba,Chile,Literaria y/o artística,no,no,1948,,,
autores fallecidos en 1948 (Chile),Venezuela,Chile,Literaria y/o artística,no,no,1948,,,
autores fallecidos en 1948 (Chile),Alemania,Chile,Literaria y/o artística,no,no,1948,,,
autores fallecidos en 1948 (Chile),Nicaragua,Chile,Literaria y/o artística,no,no,1948,,,
autores fallecidos en 1948 (Chile),Bolivia,Chile,Literaria y/o artística,no,no,1948,,,
autores fallecidos en 1948 (Chile),El Salvador,Chile,Literaria y/o artística,no,no,1948,,,
autores fallecidos en 1948 (Chile),Costa Rica,Chile,Literaria y/o artística,no,no,1948,,,
autores fallecidos en 1948 (Chile),Paraguay,Chile,Literaria y/o artística,no,no,1948,,,
autores fallecidos en 1948 (Chile),Estados Unidos,Chile,Literaria y/o artística,no,no,1948,,,
autores fallecidos en 1928 (Colombia),España,Colombia,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (Colombia),México,Colombia,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (Colombia),Argentina,Colombia,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (Colombia),Chile,Colombia,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (Colombia),Colombia,Colombia,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (Colombia),Perú,Colombia,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (Colombia),Uruguay,Colombia,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (Colombia),Ecuador,Colombia,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (Colombia),Cuba,Colombia,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (Colombia),Venezuela,Colombia,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (Colombia),Alemania,Colombia,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (Colombia),Nicaragua,Colombia,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (Colombia),Bolivia,Colombia,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (Colombia),El Salvador,Colombia,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (Colombia),Costa Rica,Colombia,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (Colombia),Paraguay,Colombia,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (Colombia),Estados Unidos,Colombia,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1936 (Cuba),España,Cuba,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (Cuba),México,Cuba,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (Cuba),Argentina,Cuba,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (Cuba),Chile,Cuba,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (Cuba),Colombia,Cuba,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (Cuba),Perú,Cuba,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (Cuba),Uruguay,Cuba,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (Cuba),Ecuador,Cuba,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (Cuba),Cuba,Cuba,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (Cuba),Venezuela,Cuba,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (Cuba),Alemania,Cuba,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (Cuba),Nicaragua,Cuba,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (Cuba),Bolivia,Cuba,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (Cuba),El Salvador,Cuba,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (Cuba),Costa Rica,Cuba,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (Cuba),Paraguay,Cuba,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (Cuba),Estados Unidos,Cuba,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1947 (Ecuador),España,Ecuador,Literaria y/o artística,no,no,1947,,,
autores fallecidos en 1947 (Ecuador),México,Ecuador,Literaria y/o artística,no,no,1947,,,
autores fallecidos en 1947 (Ecuador),Argentina,Ecuador,Literaria y/o artística,no,no,1947,,,
autores fallecidos en 1947 (Ecuador),Chile,Ecuador,Literaria y/o artística,no,no,1947,,,
autores fallecidos en 1947 (Ecuador),Colombia,Ecuador,Literaria y/o artística,no,no,1947,,,
autores fallecidos en 1947 (Ecuador),Perú,Ecuador,Literaria y/o artística,no,no,1947,,,
autores fallecidos en 1947 (Ecuador),Uruguay,Ecuador,Literaria y/o artística,no,no,1947,,,
autores fallecidos en 1947 (Ecuador),Ecuador,Ecuador,Literaria y/o artística,no,no,1947,,,
autores fallecidos en 1947 (Ecuador),Cuba,Ecuador,Literaria y/o artística,no,no,1947,,,
autores fallecidos en 1947 (Ecuador),Venezuela,Ecuador,Literaria y/o artística,no,no,1947,,,
autores fallecidos en 1947 (Ecuador),Alemania,Ecuador,Literaria y/o artística,no,no,1947,,,
autores fallecidos en 1947 (Ecuador),Nicaragua,Ecuador,Literaria y/o artística,no,no,1947,,,
autores fallecidos en 1947 (Ecuador),Bolivia,Ecuador,Literaria y/o artística,no,no,1947,,,
autores fallecidos en 1947 (Ecuador),El Salvador,Ecuador,Literaria y/o artística,no,no,1947,,,
autores fallecidos en 1947 (Ecuador),Costa Rica,Ecuador,Literaria y/o artística,no,no,1947,,,
autores fallecidos en 1947 (Ecuador),Paraguay,Ecuador,Literaria y/o artística,no,no,1947,,,
autores fallecidos en 1947 (Ecuador),Estados Unidos,Ecuador,Literaria y/o artística,no,no,1947,,,
autores fallecidos en 1616 (España),España,España,Literaria y/o artística,no,no,1616,,,
autores fallecidos en 1616 (España),México,España,Literaria y/o artística,no,no,1616,,,
autores fallecidos en 1616 (España),Argentina,España,Literaria y/o artística,no,no,1616,,,
autores fallecidos en 1616 (España),Chile,España,Literaria y/o artística,no,no,1616,,,
autores fallecidos en 1616 (España),Colombia,España,Literaria y/o artística,no,no,1616,,,
autores fallecidos en 1616 (España),Perú,España,Literaria y/o artística,no,no,1616,,,
autores fallecidos en 1616 (España),Uruguay,España,Literaria y/o artística,no,no,1616,,,
autores fallecidos en 1616 (España),Ecuador,España,Literaria y/o artística,no,no,1616,,,
autores fallecidos en 1616 (España),Cuba,España,Literaria y/o artística,no,no,1616,,,
autores fallecidos en 1616 (España),Venezuela,España,Literaria y/o artística,no,no,1616,,,
autores fallecidos en 1616 (España),Alemania,España,Literaria y/o artística,no,no,1616,,,
autores fallecidos en 1616 (España),Nicaragua,España,Literaria y/o artística,no,no,1616,,,
autores fallecidos en 1616 (España),Bolivia,España,Literaria y/o artística,no,no,1616,,,
autores fallecidos en 1616 (España),El Salvador,España,Literaria y/o artística,no,no,1616,,,
autores fallecidos en 1616 (España),Costa Rica,España,Literaria y/o artística,no,no,1616,,,
autores fallecidos en 1616 (España),Paraguay,España,Literaria y/o artística,no,no,1616,,,
autores fallecidos en 1616 (España),Estados Unidos,España,Literaria y/o artística,no,no,1616,,,
autores fallecidos en 1921 (España),España,España,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (España),México,España,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (España),Argentina,España,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (España),Chile,España,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (España),Colombia,España,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (España),Perú,España,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (España),Uruguay,España,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (España),Ecuador,España,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (España),Cuba,España,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (España),Venezuela,España,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (España),Alemania,España,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (España),Nicaragua,España,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (España),Bolivia,España,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (España),El Salvador,España,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (España),Costa Rica,España,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (España),Paraguay,España,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1921 (España),Estados Unidos,España,Literaria y/o artística,no,no,1921,,,
autores fallecidos en 1928 (España),España,España,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (España),México,España,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (España),Argentina,España,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (España),Chile,España,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (España),Colombia,España,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (España),Perú,España,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (España),Uruguay,España,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (España),Ecuador,España,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (España),Cuba,España,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (España),Venezuela,España,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (España),Alemania,España,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (España),Nicaragua,España,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (España),Bolivia,España,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (España),El Salvador,España,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (España),Costa Rica,España,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (España),Paraguay,España,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1928 (España),Estados Unidos,España,Literaria y/o artística,no,no,1928,,,
autores fallecidos en 1932 (España),España,España,Literaria y/o artística,no,no,1932,,,
autores fallecidos en 1932 (España),México,España,Literaria y/o artística,no,no,1932,,,
autores fallecidos en 1932 (España),Argentina,España,Literaria y/o artística,no,no,1932,,,
autores fallecidos en 1932 (España),Chile,España,Literaria y/o artística,no,no,1932,,,
autores fallecidos en 1932 (España),Colombia,España,Literaria y/o artística,no,no,1932,,,
autores fallecidos en 1932 (España),Perú,España,Literaria y/o artística,no,no,1932,,,
autores fallecidos en 1932 (España),Uruguay,España,Literaria y/o artística,no,no,1932,,,
autores fallecidos en 1932 (España),Ecuador,España,Literaria y/o artística,no,no,1932,,,
autores fallecidos en 1932 (España),Cuba,España,Literaria y/o artística,no,no,1932,,,
autores fallecidos en 1932 (España),Venezuela,España,Literaria y/o artística,no,no,1932,,,
autores fallecidos en 1932 (España),Alemania,España,Literaria y/o artística,no,no,1932,,,
autores fallecidos en 1932 (España),Nicaragua,España,Literaria y/o artística,no,no,1932,,,
autores fallecidos en 1932 (España),Bolivia,España,Literaria y/o artística,no,no,1932,,,
autores fallecidos en 1932 (España),El Salvador,España,Literaria y/o artística,no,no,1932,,,
autores fallecidos en 1932 (España),Costa Rica,España,Literaria y/o artística,no,no,1932,,,
autores fallecidos en 1932 (España),Paraguay,España,Literaria y/o artística,no,no,1932,,,
autores fallecidos en 1932 (España),Estados Unidos,España,Literaria y/o artística,no,no,1932,,,
autores fallecidos en 1934 (España),España,España,Literaria y/o artística,no,no,1934,,,
autores fallecidos en 1934 (España),México,España,Literaria y/o artística,no,no,1934,,,
autores fallecidos en 1934 (España),Argentina,España,Literaria y/o artística,no,no,1934,,,
autores fallecidos en 1934 (España),Chile,España,Literaria y/o artística,no,no,1934,,,
autores fallecidos en 1934 (España),Colombia,España,Literaria y/o artística,no,no,1934,,,
autores fallecidos en 1934 (España),Perú,España,Literaria y/o artística,no,no,1934,,,
autores fallecidos en 1934 (España),Uruguay,España,Literaria y/o artística,no,no,1934,,,
autores fallecidos en 1934 (España),Ecuador,España,Literaria y/o artística,no,no,1934,,,
autores fallecidos en 1934 (España),Cuba,España,Literaria y/o artística,no,no,1934,,,
autores fallecidos en 1934 (España),Venezuela,España,Literaria y/o artística,no,no,1934,,,
autores fallecidos en 1934 (España),Alemania,España,Literaria y/o artística,no,no,1934,,,
autores fallecidos en 1934 (España),Nicaragua,España,Literaria y/o artística,no,no,1934,,,
autores fallecidos en 1934 (España),Bolivia,España,Literaria y/o artística,no,no,1934,,,
autores fallecidos en 1934 (España),El Salvador,España,Literaria y/o artística,no,no,1934,,,
autores fallecidos en 1934 (España),Costa Rica,España,Literaria y/o artística,no,no,1934,,,
autores fallecidos en 1934 (España),Paraguay,España,Literaria y/o artística,no,no,1934,,,
autores fallecidos en 1934 (España),Estados Unidos,España,Literaria y/o artística,no,no,1934,,,
autores fallecidos en 1936 (España),España,España,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (España),México,España,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (España),Argentina,España,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (España),Chile,España,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (España),Colombia,España,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (España),Perú,España,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (España),Uruguay,España,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (España),Ecuador,España,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (España),Cuba,España,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (España),Venezuela,España,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (España),Alemania,España,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (España),Nicaragua,España,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (España),Bolivia,España,Literaria y/o artística,no,no,1936,,,
autores fallecidos en 1936 (España),El Salvador,España,Literaria y/o artística,no,no,1936,,,
