id,dominio,titulo,autor,anio,pais,genero,tema,tipo,fuente,url,urls,verificado,puede_alojarse,piezas,nota_editorial,notas
11,Literatura,Romancero gitano,Federico García Lorca,1928,España,Poesía,,Dominio público,textos.info,https://www.textos.info/federico-garcia-lorca/romancero-gitano/descargar-pdf,,True,si,,,"Actualizado con link de descarga directa en textos.info, en vez de Wikisource."
12,Literatura,Bodas de sangre,Federico García Lorca,1932,España,Teatro,,Dominio público,textos.info,https://www.textos.info/federico-garcia-lorca/bodas-de-sangre/descargar-pdf,,True,si,,,Actualizado con link de descarga directa en textos.info.
14,Literatura,Azul...,Rubén Darío,1888,Nicaragua,Poesía,,Dominio público,"textos.info (edición de Edu Robsy, marcada como dominio público)",https://archivos.tintaydatos.com/ediciones/azul-tinta-y-datos.pdf,,True,si,El rey burgués | El sátiro sordo | La ninfa | El fardo | El velo de la reina Mab | La canción de oro | El rubí | El palacio del sol | El pájaro azul | Palomas blancas y garzas morenas | I. En busca de cuadros | II. Acuarela | III. Paisaje | IV. Aguafuerte | V. La virgen de la paloma | VI. La cabeza | VII. Acuarela | VIII. Un retrato de Watteau | IX. Naturaleza muerta | X. Al carbón | XI. Paisaje | XII. El ideal | La muerte de la emperatriz de China | A una estrella | Primaveral | Estival | Autumnal | Invernal | Pensamiento de otoño | A un poeta | Anagké | Caupolicán | Venus | De invierno | Leconte de Lisle | Catulle Mendés | Walt Whitman | J. J. Palma | Salvador Díaz Mirón,Alterna cuentos en prosa y poemas; la edición conserva ambos registros tal como aparecen en el original.,"Edición propia Tinta y Datos: 39 capítulos, 1193 párrafos."
15,Literatura,Versos sencillos,José Martí,1891,Cuba,Poesía,,Dominio público,"Educ.ar (Secretaría de Educación, Argentina)",https://www.educ.ar/recursos/151773/versos-sencillos-de-jose-marti,,True,revisar_licencia_nc,,,"Portal educativo oficial argentino, licencia explícita CC BY-NC-SA — descarga y lectura garantizadas, pero con cláusula No Comercial."
16,Literatura,Tradiciones peruanas (primera serie),Ricardo Palma,1872,Perú,Cuento,,Dominio público,"textos.info (edición de Edu Robsy, marcada como dominio público)",https://archivos.tintaydatos.com/ediciones/tradiciones-peruanas-i-tinta-y-datos.pdf,,True,si,"Palla-Huarcuna | D. Dimas de la Tijereta | El Cristo de la Agonía | Mujer y tigre | El Nazareno | Un litigio original | La casa de Pilatos | ¡Pues bonita soy yo, la Castellanos! | Justos y pecadores | La fiesta de San Simón Garabatillo | Un predicador de lujo | Predestinación | Dos millones | Las cayetanas | Los endiablados","Primera de las diez series de tradiciones que Ricardo Palma publicó entre 1872 y 1910. Tinta y Datos edita por separado las tres primeras, que son las disponibles en la fuente.","Edición propia Tinta y Datos: 15 capítulos, 689 párrafos."
17,Literatura,Cuentos de la selva,Horacio Quiroga,1918,Uruguay,Cuento,,Dominio público,"textos.info (edición de Edu Robsy, marcada como dominio público)",https://archivos.tintaydatos.com/ediciones/cuentos-de-la-selva-tinta-y-datos.pdf,,True,si,La tortuga gigante | Las medias de los flamencos | El loro pelado | La guerra de los yacarés | La gama ciega | Historia de dos cachorros de coatí y de dos cachorros de hombre | El paso del Yabebirí | La abeja haragana,"La fuente presenta los ocho cuentos en orden alfabético; esta edición restituye el orden del libro de 1918, tal como lo consigna la propia ficha de la fuente.","Edición propia Tinta y Datos: 8 capítulos, 620 párrafos."
18,Literatura,Poesías,Delmira Agustini,1913,Uruguay,Poesía,,Dominio público,Internet Archive,https://archive.org/details/delmiraagustinip00agus,,True,revisar_uso_comercial,,,"Primera edición, 65 páginas, verificada en español."
20,Literatura,Los pazos de Ulloa,Emilia Pardo Bazán,1886,España,Novela,,Dominio público,"textos.info (edición de Edu Robsy, marcada como dominio público)",https://archivos.tintaydatos.com/ediciones/los-pazos-de-ulloa-tinta-y-datos.pdf,,True,si,,La numeración de la fuente salta del capítulo V al VII; esta edición reproduce esa secuencia sin alterarla.,"Edición propia Tinta y Datos: 29 capítulos, 1292 párrafos."
22,Literatura,Niebla,Miguel de Unamuno,1914,España,Novela,,Dominio público,"textos.info (edición de Edu Robsy, marcada como dominio público)",https://archivos.tintaydatos.com/ediciones/niebla-tinta-y-datos.pdf,,True,si,Capítulo 1 | Capítulo 2 | Capítulo 3 | Capítulo 4 | Capítulo 5 | Capítulo 6 | Capítulo 7 | Capítulo 8 | Capítulo 9 | Capítulo 10 | Capítulo 11 | Capítulo 12 | Capítulo 13 | Capítulo 14 | Capítulo 15 | Capítulo 16 | Capítulo 17 | Capítulo 18 | Capítulo 19 | Capítulo 20 | Capítulo 21 | Capítulo 22 | Capítulo 23 | Capítulo 24 | Capítulo 25 | Capítulo 26 | Capítulo 27 | Capítulo 28 | Capítulo 29 | Capítulo 30 | Capítulo 31 | Capítulo 32 | Capítulo 33 | Epílogo,,"Edición propia Tinta y Datos: 34 capítulos, 2228 párrafos."
23,Literatura,Soledades,Antonio Machado,1903,España,Poesía,,Dominio público,"textos.info (edición de Edu Robsy, marcada como dominio público)",https://archivos.tintaydatos.com/ediciones/soledades-tinta-y-datos.pdf,,True,si,,,"Edición propia Tinta y Datos: 19 poemas, 511 versos."
24,Literatura,Cuentos frágiles,Manuel Gutiérrez Nájera,1883,México,Cuento,,Dominio público,"textos.info (edición de Edu Robsy, marcada como dominio público)",https://archivos.tintaydatos.com/ediciones/cuentos-fragiles-tinta-y-datos.pdf,,True,si,La balada de año nuevo | La novela del tranvía | La venganza de Milord | La mañana de San Juan | En el Hipódromo | La pasión de Pasionaria | Los amores del cometa | Después de las carreras | La hija del aire | Tragedias de actualidad | Las misas de Navidad | Los suicidios | La historia de una corista | En la calle | Al amor de la lumbre,,"Edición propia Tinta y Datos: 15 capítulos, 460 párrafos."
25,Literatura,Popol Vuh,Anónimo (transcripción de tradición k'iche'),1701,Guatemala,Folclore,,Folclore / dominio público,Internet Archive,https://archive.org/search?query=Popol+Vuh,,False,revisar_uso_comercial,,,Texto sagrado maya k'iche'. La traducción/transcripción específica que uses puede tener su propio copyright: revisa la edición.
26,Literatura,Cuentos populares chilenos (recopilación),Tradición oral / recopiladores varios,1900,Chile,Folclore,,Folclore,Biblioteca Nacional Digital de Chile (Memoria Chilena),https://www.memoriachilena.gob.cl/602/w3-channel.html,,False,revisar_por_item,,,"Memoria Chilena tiene colecciones digitalizadas de folclore y tradición oral; hay que navegar cada colección porque no todo es dominio público, parte tiene derechos vigentes de recopiladores."
27,Literatura,Cuentos y leyendas mapuche (recopilaciones tempranas),Tradición oral mapuche / recopiladores s. XIX-XX,1910,Chile,Folclore,,Folclore,Memoria Chilena / Internet Archive,https://www.memoriachilena.gob.cl/602/w3-propertyvalue-124397.html,,False,revisar_por_item,,,Verificar edición y recopilador: algunas transcripciones tienen copyright vigente aunque la tradición oral en sí no.
100,Ciencia,"Física universitaria, volumen 1","Samuel J. Ling, Jeff Sanny, William Moebs (OpenStax)",2016,Internacional (OpenStax/Rice University),Libro de texto — Física,Física,Libre acceso (CC BY 4.0),OpenStax,https://openstax.org/details/books/f%C3%ADsica-universitaria-volumen-1,,True,si,,,"Mecánica, sonido, oscilaciones y ondas. Traducción oficial de OpenStax, revisada por especialistas."
101,Ciencia,"Física universitaria, volumen 2","Samuel J. Ling, Jeff Sanny, William Moebs (OpenStax)",2016,Internacional (OpenStax/Rice University),Libro de texto — Física,Física,Libre acceso (CC BY 4.0),OpenStax,https://openstax.org/details/books/f%C3%ADsica-universitaria-volumen-2,,False,si,,,"Termodinámica, electricidad y magnetismo."
102,Ciencia,"Física universitaria, volumen 3","Samuel J. Ling, Jeff Sanny, William Moebs (OpenStax)",2016,Internacional (OpenStax/Rice University),Libro de texto — Física,Física,Libre acceso (CC BY 4.0),OpenStax,https://openstax.org/details/books/f%C3%ADsica-universitaria-volumen-3,,False,si,,,Óptica y física moderna.
103,Ciencia,Química 2ed,OpenStax,2019,Internacional (OpenStax/Rice University),Libro de texto — Química,Química,Libre acceso (CC BY 4.0),OpenStax,https://openstax.org/books/qu%C3%ADmica-2ed/pages/prefacio,,True,si,,,Curso general de química de dos semestres.
104,Ciencia,Cálculo (OpenStax),OpenStax,2016,Internacional (OpenStax/Rice University),Libro de texto — Matemáticas,Matemáticas,Libre acceso (CC BY 4.0),OpenStax (alojado en LibreTexts español),https://espanol.libretexts.org/Bookshelves/Matematicas/Libro%3A_Calculo_(OpenStax),,True,revisar_licencia_nc,,,Manual de cálculo de OpenStax bajo licencia CC BY 4.0.
